lambda,min D1,max D1,min D2,max D2
0.,1,1,1,1
.5e-1,.989590644836426,.989591598510742,.99993896484375,.999939918518066
.10,.980766296386719,.980767250061035,.999802589416504,.99980354309082
.15,.972735404968262,.972736358642578,.999441146850586,.999442100524902
.20,.965150833129883,.965151786804199,.999073028564453,.99907398223877
.25,.957776069641113,.95777702331543,.998690605163574,.998691558837891
.30,.950430870056152,.950431823730469,.9981689453125,.998169898986816
.35,.942960739135742,.942961692810059,.997599601745605,.997600555419922
.40,.935234069824219,.935235023498535,.997001647949219,.997002601623535
.45,.927128791809082,.927129745483398,.996345520019531,.996346473693848
.50,.918526649475098,.918527603149414,.995625495910645,.995626449584961
.55,.909317016601562,.909317970275879,.99483585357666,.994836807250977
.60,.899388313293457,.899389266967773,.99396800994873,.993968963623047
.65,.888637542724609,.888638496398926,.993012428283691,.993013381958008
.70,.876971244812012,.876972198486328,.991959571838379,.991960525512695
.75,.86431884765625,.864319801330566,.990796089172363,.99079704284668
.80,.850635528564453,.85063648223877,.989510536193848,.989511489868164
.85,.835909843444824,.835910797119141,.988085746765137,.988086700439453
.90,.820168495178223,.820169448852539,.986503601074219,.986504554748535
.95,.803469657897949,.803470611572266,.984742164611816,.984743118286133
1.00,.785898208618164,.78589916229248,.982775688171387,.982776641845703
1.05,.767559051513672,.767560005187988,.980574607849121,.980575561523438
1.10,.748567581176758,.748568534851074,.978102684020996,.978103637695312
1.15,.729040145874023,.72904109954834,.975316047668457,.975317001342773
1.20,.709088325500488,.709089279174805,.972164154052734,.972165107727051
1.25,.688821792602539,.688822746276855,.968586921691895,.968587875366211
1.30,.668337821960449,.668338775634766,.964516639709473,.964517593383789
1.35,.647729873657227,.647730827331543,.959874153137207,.959875106811523
1.40,.627080917358398,.627081871032715,.954574584960938,.954575538635254
1.45,.606467247009277,.606468200683594,.948533058166504,.94853401184082
1.50,.585959434509277,.585960388183594,.941662788391113,.94166374206543
1.55,.565621376037598,.565622329711914,.933890342712402,.933891296386719
1.60,.545509338378906,.545510292053223,.925155639648438,.925156593322754
1.65,.525674819946289,.525675773620605,.915419578552246,.915420532226562
1.70,.50616455078125,.506165504455566,.904667854309082,.904668807983398
1.75,.487018585205078,.487019538879395,.892902374267578,.892903327941895
1.80,.468271255493164,.46827220916748,.880144119262695,.880145072937012
1.85,.449953079223633,.449954032897949,.866427421569824,.866428375244141
1.90,.432089805603027,.432090759277344,.851792335510254,.85179328918457
1.95,.414700508117676,.414701461791992,.836289405822754,.83629035949707
2.00,.39780330657959,.397804260253906,.819971084594727,.819972038269043
2.05,.38140869140625,.381409645080566,.802894592285156,.802895545959473
2.10,.36552619934082,.365527153015137,.785120010375977,.785120964050293
2.15,.350161552429199,.350162506103516,.766711235046387,.766712188720703
2.20,.335315704345703,.33531665802002,.747735023498535,.747735977172852
2.25,.320988655090332,.320989608764648,.728261947631836,.728262901306152
2.30,.307177543640137,.307178497314453,.708364486694336,.708365440368652
2.35,.293877601623535,.293878555297852,.688117980957031,.688118934631348
2.40,.281082153320312,.281083106994629,.667598724365234,.667599678039551
2.45,.268781661987305,.268782615661621,.646883964538574,.646884918212891
2.50,.256967544555664,.25696849822998,.626051902770996,.626052856445312
2.55,.245628356933594,.24562931060791,.605178833007812,.605179786682129
2.60,.23475170135498,.234752655029297,.584338188171387,.584339141845703
2.65,.224325180053711,.224326133728027,.563604354858398,.563605308532715
2.70,.214337348937988,.214338302612305,.54304313659668,.543044090270996
2.75,.20477294921875,.204773902893066,.52271842956543,.522719383239746
2.80,.195618629455566,.195619583129883,.502688407897949,.502689361572266
2.85,.186860084533691,.186861038208008,.483007431030273,.48300838470459
2.90,.178483963012695,.178484916687012,.463719367980957,.463720321655273
2.95,.170475959777832,.170476913452148,.444867134094238,.444868087768555
3.00,.162822723388672,.162823677062988,.426484107971191,.426485061645508
3.05,.155509948730469,.155510902404785,.408598899841309,.408599853515625
3.10,.148523330688477,.148524284362793,.391234397888184,.3912353515625
3.15,.141851425170898,.141852378845215,.374408721923828,.374409675598145
3.20,.135479927062988,.135480880737305,.358132362365723,.358133316040039
3.25,.129397392272949,.129398345947266,.342413902282715,.342414855957031
3.30,.123590469360352,.123591423034668,.327258110046387,.327259063720703
3.35,.118046760559082,.118047714233398,.312664031982422,.312664985656738
3.40,.112756729125977,.112757682800293,.298627853393555,.298628807067871
3.45,.107707023620605,.107707977294922,.285144805908203,.28514575958252
3.50,.102889060974121,.102890014648438,.27220630645752,.272207260131836
3.55,.0982904434204102,.0982913970947266,.259800910949707,.259801864624023
3.60,.093902587890625,.0939035415649414,.247917175292969,.247918128967285
3.65,.0897159576416016,.089716911315918,.236542701721191,.236543655395508
3.70,.0857200622558594,.0857210159301758,.225661277770996,.225662231445312
3.75,.0819072723388672,.0819082260131836,.215259552001953,.21526050567627
3.80,.0782690048217773,.0782699584960938,.205320358276367,.205321311950684
3.85,.0747966766357422,.0747976303100586,.195829391479492,.195830345153809
3.90,.0714836120605469,.0714845657348633,.186768531799316,.186769485473633
3.95,.0683212280273438,.0683221817016602,.178121566772461,.178122520446777
4.00,.065302848815918,.0653038024902344,.16987419128418,.169875144958496
